id,name,Result
146,2191,is found in human_movement table
2481,Richard Hamilton,✅ Found to fetch entity
8,pop art,is found in movements table
8,2481,is added in human_movement table
8,2481,is found in human_movement table
48,contemporary art,is found in movements table
48,2481,is added in human_movement table
48,2481,is found in human_movement table
3641,Jean Lurçat,✅ Found to fetch entity
4416,Meret Oppenheim,✅ Found to fetch entity
3,Surrealism,is found in movements table
3,4416,is added in human_movement table
3,4416,is found in human_movement table
6642,Art Spiegelman,✅ Found to fetch entity
15558,Francis Carco,✅ Found to fetch entity
136,unknown,is found in movements table
136,15558,is added in human_movement table
136,15558,is found in human_movement table
30959,Alexander Kluge,✅ Found to fetch entity
51,New German Cinema,is found in movements table
51,30959,is added in human_movement table
51,30959,is found in human_movement table
41512,Ousmane Sembène,✅ Found to fetch entity
44714,Sergio Leone,✅ Found to fetch entity
47165,Annie Leibovitz,✅ Found to fetch entity
48739,Guy Debord,✅ Found to fetch entity
141,Situationist International,is found in movements table
141,48739,is added in human_movement table
141,48739,is found in human_movement table
147,Letterist International,is added movements table
147,Letterist International,is found in movements table
147,48739,is added in human_movement table
147,48739,is found in human_movement table
990,Eugène Carrière,✅ Found to fetch entity
11,Symbolism,is found in movements table
11,990,is added in human_movement table
11,990,is found in human_movement table
3137,Yves Klein,✅ Found to fetch entity
55,Nouveau réalisme,is found in movements table
55,3137,is added in human_movement table
55,3137,is found in human_movement table
6191,Wolf Vostell,✅ Found to fetch entity
12,Fluxus,is found in movements table
12,6191,is added in human_movement table
12,6191,is found in human_movement table
8083,Gordon Parks,✅ Found to fetch entity
65,social realism,is found in movements table
65,8083,is added in human_movement table
65,8083,is found in human_movement table
438,Peter Behrens,✅ Found to fetch entity
533,Albert Besnard,✅ Found to fetch entity
11,Symbolism,is found in movements table
11,533,is added in human_movement table
11,533,is found in human_movement table
3534,André Lhote,✅ Found to fetch entity
6165,Jacques Villon,✅ Found to fetch entity
133872,Tom Clancy,✅ Found to fetch entity
174,Carl Andre,✅ Found to fetch entity
104,Minimalism,is found in movements table
104,174,is added in human_movement table
104,174,is found in human_movement table
2840,Jozef Israels,✅ Found to fetch entity
148,Hague School,is added movements table
148,Hague School,is found in movements table
148,2840,is added in human_movement table
148,2840,is found in human_movement table
2896,Alexei Jawlensky,✅ Found to fetch entity
7,Expressionism,is found in movements table
7,2896,is added in human_movement table
7,2896,is found in human_movement table
5569,Daniel Spoerri,✅ Found to fetch entity
12,Fluxus,is found in movements table
12,5569,is added in human_movement table
12,5569,is found in human_movement table
5777,Sophie Taeuber-Arp,✅ Found to fetch entity
22,Dada,is found in movements table
22,5777,is added in human_movement table
22,5777,is found in human_movement table
2964,Louis I. Kahn,✅ Found to fetch entity
3315,Yayoi Kusama,✅ Found to fetch entity
64,abstract art,is found in movements table
64,3315,is added in human_movement table
64,3315,is found in human_movement table
